Provinsi;Komoditas;Tahun;Luas Panen;Produksi;KMeans;KMeans Label;Prediksi Luas Panen;Prediksi Produksi
ACEH;Jagung;1993;17941;38924;0;Rendah;119947,7675;72167,45087
ACEH;Jagung;1994;13105;28578;0;Rendah;118639,5306;54492,80218
ACEH;Jagung;1995;20639;44921;0;Rendah;117331,2937;82028,12129
ACEH;Jagung;1996;19677;45566;0;Rendah;116023,0569;78512,19655
ACEH;Jagung;1997;25312;58679;0;Rendah;114714,82;99107,03636
ACEH;Jagung;1998;29000;65660;0;Rendah;113406,5831;112585,9661
ACEH;Jagung;1999;30545;74449;0;Rendah;112098,3463;118232,6436
ACEH;Jagung;2000;15576;36642;0;Rendah;110790,1094;63523,83132
ACEH;Jagung;2001;20605;51232;0;Rendah;109481,8725;81903,85783
ACEH;Jagung;2002;23874;60105;0;Rendah;108173,6357;93851,42329
ACEH;Jagung;2003;25188;67386;0;Rendah;106865,3988;98653,84024
ACEH;Jagung;2004;25748;77747;0;Rendah;105557,1619;100700,5324
ACEH;Jagung;2005;29517;94426;0;Rendah;104248,9251;114475,5016
ACEH;Jagung;2006;29583;96838;0;Rendah;102940,6882;114716,7188
ACEH;Jagung;2007;36774;125155;0;Rendah;101632,4513;140998,439
ACEH;Jagung;2008;34164;112894;0;Rendah;100324,2145;131459,3916
ACEH;Jagung;2009;39731;137753;0;Rendah;99015,97762;151805,7045
ACEH;Jagung;2010;43885;167090;0;Rendah;97707,74075;166987,7746
ACEH;Jagung;2011;41853;168861;0;Rendah;96399,50389;159561,2059
ACEH;Jagung;2012;43675;167285;0;Rendah;95091,26702;166220,265
ACEH;Jagung;2013;44099;177842;0;Rendah;93783,03016;167769,9034
ACEH;Jagung;2014;47357;202318;0;Rendah;92474,79329;179677,2659
ACEH;Jagung;2015;47967;205125;0;Rendah;91166,55643;181906,6985
ACEH;Jagung;2020;11581,2;63950,8;0;Rendah;84625,3721;48923,60664
ACEH;Jagung;2021;10289,99;57835,8;0;Rendah;83317,13524;44204,48275
ACEH;Jagung;2022;12453,57;72241,64;0;Rendah;82008,89837;52111,95099
ACEH;Jagung;2023;11951,91;68247,73;0;Rendah;80700,66151;50278,4803
BALI;Jagung;1993;51038;105759;0;Rendah;119947,7675;193130,612
BALI;Jagung;1994;40251;85286;0;Rendah;118639,5306;153706,2044
BALI;Jagung;1995;42357;90800;0;Rendah;117331,2937;161403,2288
BALI;Jagung;1996;42294;91704;0;Rendah;116023,0569;161172,976
BALI;Jagung;1997;44190;107395;0;Rendah;114714,82;168102,4908
BALI;Jagung;1998;46013;113921;0;Rendah;113406,5831;174765,2048
BALI;Jagung;1999;38524;96342;0;Rendah;112098,3463;147394,352
BALI;Jagung;2000;38258;95206;0;Rendah;110790,1094;146422,1732
BALI;Jagung;2001;31858;79692;0;Rendah;109481,8725;123031,4057
BALI;Jagung;2002;34395;98584;0;Rendah;108173,6357;132303,6522
BALI;Jagung;2003;29941;89819;0;Rendah;106865,3988;116025,1399
BALI;Jagung;2004;25782;68424;0;Rendah;105557,1619;100824,7958
BALI;Jagung;2005;30810;81884;0;Rendah;104248,9251;119201,1676
BALI;Jagung;2006;28131;78105;0;Rendah;102940,6882;109409,9385
BALI;Jagung;2007;24021;69209;0;Rendah;101632,4513;94388,67998
BALI;Jagung;2008;27251;77619;0;Rendah;100324,2145;106193,7079
BALI;Jagung;2009;32305;92998;0;Rendah;99015,97762;124665,1046
BALI;Jagung;2010;26706;66355;0;Rendah;97707,74075;104201,8379
BALI;Jagung;2011;22739;64606;0;Rendah;96399,50389;89703,21687
BALI;Jagung;2012;21008;61873;0;Rendah;95091,26702;83376,74522
BALI;Jagung;2013;18223;57573;0;Rendah;93783,03016;73198,10656
BALI;Jagung;2014;16685;40613;0;Rendah;92474,79329;67577,01275
BALI;Jagung;2015;15346;40603;0;Rendah;91166,55643;62683,22561
BALI;Jagung;2020;7927,98;34994,61;0;Rendah;84625,3721;35571,79107
BALI;Jagung;2021;10245,83;50117,54;0;Rendah;83317,13524;44043,08645
BALI;Jagung;2022;10316,71;53206,31;0;Rendah;82008,89837;44302,1392
BALI;Jagung;2023;9410,75;41738,08;0;Rendah;80700,66151;40991,02987
BANTEN;Jagung;1993;0;0;0;Rendah;119947,7675;6596,550944
BANTEN;Jagung;1994;0;0;0;Rendah;118639,5306;6596,550944
BANTEN;Jagung;1995;0;0;0;Rendah;117331,2937;6596,550944
BANTEN;Jagung;1996;0;0;0;Rendah;116023,0569;6596,550944
BANTEN;Jagung;1997;0;0;0;Rendah;114714,82;6596,550944
BANTEN;Jagung;1998;0;0;0;Rendah;113406,5831;6596,550944
BANTEN;Jagung;1999;0;0;0;Rendah;112098,3463;6596,550944
BANTEN;Jagung;2000;0;0;0;Rendah;110790,1094;6596,550944
BANTEN;Jagung;2001;12534;30396;0;Rendah;109481,8725;52405,90715
BANTEN;Jagung;2002;8354;19216;0;Rendah;108173,6357;37128,81213
BANTEN;Jagung;2003;8331;24875;0;Rendah;106865,3988;37044,75156
BANTEN;Jagung;2004;8818;25102;0;Rendah;105557,1619;38824,64277
BANTEN;Jagung;2005;10324;29751;0;Rendah;104248,9251;44328,78275
BANTEN;Jagung;2006;8155;24417;0;Rendah;102940,6882;36401,50545
BANTEN;Jagung;2007;6736;20723;0;Rendah;101632,4513;31215,33373
BANTEN;Jagung;2008;6288;20169;0;Rendah;100324,2145;29577,98
BANTEN;Jagung;2009;8425;27083;0;Rendah;99015,97762;37388,30346
BANTEN;Jagung;2010;8697;28557;0;Rendah;97707,74075;38382,41108
BANTEN;Jagung;2011;4600;13863;0;Rendah;96399,50389;23408,66508
BANTEN;Jagung;2012;3074;9819;0;Rendah;95091,26702;17831,42895
BANTEN;Jagung;2013;3583;12038;0;Rendah;93783,03016;19691,72593
BANTEN;Jagung;2014;3152;10514;0;Rendah;92474,79329;18116,50393
BANTEN;Jagung;2015;3518;11870;0;Rendah;91166,55643;19454,16345
BANTEN;Jagung;2020;2945,5;20349,88;0;Rendah;84625,3721;17361,7862
BANTEN;Jagung;2021;1375,5;9393,64;0;Rendah;83317,13524;11623,73855
BANTEN;Jagung;2022;1250,54;9602,73;0;Rendah;82008,89837;11167,03382
BANTEN;Jagung;2023;1760,92;12415,66;0;Rendah;80700,66151;13032,37443
BENGKULU;Jagung;1993;20139;36449;0;Rendah;119947,7675;80200,71758
BENGKULU;Jagung;1994;17963;32303;0;Rendah;118639,5306;72247,85663
BENGKULU;Jagung;1995;28755;52232;0;Rendah;117331,2937;111690,5383
BENGKULU;Jagung;1996;29708;53940;0;Rendah;116023,0569;115173,5698
BENGKULU;Jagung;1997;33232;61081;0;Rendah;114714,82;128053,1111
BENGKULU;Jagung;1998;36119;64062;0;Rendah;113406,5831;138604,5401
BENGKULU;Jagung;1999;29718;55178;0;Rendah;112098,3463;115210,1179
BENGKULU;Jagung;2000;25397;46638;0;Rendah;110790,1094;99417,69499
BENGKULU;Jagung;2001;22576;41557;0;Rendah;109481,8725;89107,48326
BENGKULU;Jagung;2002;28948;52190;0;Rendah;108173,6357;112395,9161
BENGKULU;Jagung;2003;28214;52723;0;Rendah;106865,3988;109713,2875
BENGKULU;Jagung;2004;20049;50012;0;Rendah;105557,1619;79871,78491
BENGKULU;Jagung;2005;31998;84089;0;Rendah;104248,9251;123543,0788
BENGKULU;Jagung;2006;31649;82296;0;Rendah;102940,6882;122267,551
BENGKULU;Jagung;2007;27117;83385;0;Rendah;101632,4513;105703,9638
BENGKULU;Jagung;2008;35661;111826;0;Rendah;100324,2145;136930,6383
BENGKULU;Jagung;2009;28205;93798;0;Rendah;99015,97762;109680,3942
BENGKULU;Jagung;2010;20516;74331;0;Rendah;97707,74075;81578,57997
BENGKULU;Jagung;2011;22215;87362;0;Rendah;96399,50389;87788,09778
BENGKULU;Jagung;2012;22653;103771;0;Rendah;95091,26702;89388,90343
BENGKULU;Jagung;2013;18257;93988;0;Rendah;93783,03016;73322,37001
BENGKULU;Jagung;2014;15643;72756;0;Rendah;92474,79329;63768,70342
BENGKULU;Jagung;2015;10137;52785;0;Rendah;91166,55643;43645,33376
BENGKULU;Jagung;2020;4145,68;23415,58;0;Rendah;84625,3721;21748,21297
BENGKULU;Jagung;2021;5983,25;36934,89;0;Rendah;83317,13524;28464,17744
BENGKULU;Jagung;2022;10416,56;71755,99;0;Rendah;82008,89837;44667,07172
