Provinsi;Komoditas;Tahun;Luas Panen;Produksi;KMeans;KMeans Label;Prediksi Luas Panen;Prediksi Produksi
ACEH;Kacang Tanah;1993;16756;19056;1;Rendah;18772,34077;19418,00991
ACEH;Kacang Tanah;1994;18939;23380;1;Rendah;18712,01469;21977,70088
ACEH;Kacang Tanah;1995;30601;32517;1;Rendah;18651,68861;35652,05548
ACEH;Kacang Tanah;1996;19704;22639;1;Rendah;18591,36254;22874,70664
ACEH;Kacang Tanah;1997;16936;20288;1;Rendah;18531,03646;19629,07009
ACEH;Kacang Tanah;1998;8091;9513;1;Rendah;18470,71038;9257,807313
ACEH;Kacang Tanah;1999;9131;11124;1;Rendah;18410,3843;10477,26614
ACEH;Kacang Tanah;2000;7453;9179;1;Rendah;18350,05822;8509,716228
ACEH;Kacang Tanah;2001;4355;5047;1;Rendah;18289,73215;4877,136005
ACEH;Kacang Tanah;2002;6190;7377;1;Rendah;18229,40607;7028,777293
ACEH;Kacang Tanah;2003;14239;16887;1;Rendah;18169,07999;16466,68504
ACEH;Kacang Tanah;2004;12363;14687;1;Rendah;18108,75391;14266,96894
ACEH;Kacang Tanah;2005;12984;15597;1;Rendah;18048,42784;14995,12656
ACEH;Kacang Tanah;2006;9249;11091;1;Rendah;17988,10176;10615,62781
ACEH;Kacang Tanah;2007;6582;7972;1;Rendah;17927,77568;7488,419464
ACEH;Kacang Tanah;2008;5214;6322;1;Rendah;17867,4496;5884,36209
ACEH;Kacang Tanah;2009;4707;5926;1;Rendah;17807,12352;5289,875914
ACEH;Kacang Tanah;2010;5579;7063;1;Rendah;17746,79745;6312,345235
ACEH;Kacang Tanah;2011;4999;6172;1;Rendah;17686,47137;5632,26243
ACEH;Kacang Tanah;2012;5681;6934;1;Rendah;17626,14529;6431,946004
ACEH;Kacang Tanah;2013;3118;3861;1;Rendah;17565,81921;3426,683541
ACEH;Kacang Tanah;2014;2502;3080;1;Rendah;17505,49313;2704,3887
ACEH;Kacang Tanah;2015;2019;2527;1;Rendah;17445,16706;2138,043881
BALI;Kacang Tanah;1993;11870;13936;1;Rendah;18772,34077;13688,89855
BALI;Kacang Tanah;1994;13515;14300;1;Rendah;18712,01469;15617,75409
BALI;Kacang Tanah;1995;14263;15490;1;Rendah;18651,68861;16494,8264
BALI;Kacang Tanah;1996;14016;15923;1;Rendah;18591,36254;16205,20493
BALI;Kacang Tanah;1997;15510;19052;1;Rendah;18531,03646;17957,00443
BALI;Kacang Tanah;1998;15954;20414;1;Rendah;18470,71038;18477,61954
BALI;Kacang Tanah;1999;13873;16416;1;Rendah;18410,3843;16037,52934
BALI;Kacang Tanah;2000;12771;15086;1;Rendah;18350,05822;14745,37201
BALI;Kacang Tanah;2001;12988;16394;1;Rendah;18289,73215;14999,81679
BALI;Kacang Tanah;2002;13779;16251;1;Rendah;18229,40607;15927,30903
BALI;Kacang Tanah;2003;14234;18452;1;Rendah;18169,07999;16460,82226
BALI;Kacang Tanah;2004;15179;19256;1;Rendah;18108,75391;17568,88821
BALI;Kacang Tanah;2005;15183;19742;1;Rendah;18048,42784;17573,57844
BALI;Kacang Tanah;2006;13433;18040;1;Rendah;17988,10176;15521,60446
BALI;Kacang Tanah;2007;13732;19077;1;Rendah;17927,77568;15872,19887
BALI;Kacang Tanah;2008;12247;16592;1;Rendah;17867,4496;14130,95238
BALI;Kacang Tanah;2009;11902;15583;1;Rendah;17807,12352;13726,42036
BALI;Kacang Tanah;2010;10397;11582;1;Rendah;17746,79745;11961,72274
BALI;Kacang Tanah;2011;9926;11212;1;Rendah;17686,47137;11409,4486
BALI;Kacang Tanah;2012;9572;11616;1;Rendah;17626,14529;10994,36358
BALI;Kacang Tanah;2013;8500;11024;1;Rendah;17565,81921;9737,382946
BALI;Kacang Tanah;2014;7876;8355;1;Rendah;17505,49313;9005,707653
BALI;Kacang Tanah;2015;7068;7065;1;Rendah;17445,16706;8058,281953
BANTEN;Kacang Tanah;1993;0;0;1;Rendah;18772,34077;-229,3478136
BANTEN;Kacang Tanah;1994;0;0;1;Rendah;18712,01469;-229,3478136
BANTEN;Kacang Tanah;1995;0;0;1;Rendah;18651,68861;-229,3478136
BANTEN;Kacang Tanah;1996;0;0;1;Rendah;18591,36254;-229,3478136
BANTEN;Kacang Tanah;1997;0;0;1;Rendah;18531,03646;-229,3478136
BANTEN;Kacang Tanah;1998;0;0;1;Rendah;18470,71038;-229,3478136
BANTEN;Kacang Tanah;1999;0;0;1;Rendah;18410,3843;-229,3478136
BANTEN;Kacang Tanah;2000;0;0;1;Rendah;18350,05822;-229,3478136
BANTEN;Kacang Tanah;2001;13225;13097;1;Rendah;18289,73215;15277,71269
BANTEN;Kacang Tanah;2002;13939;14136;1;Rendah;18229,40607;16114,91808
BANTEN;Kacang Tanah;2003;9668;12256;1;Rendah;18169,07999;11106,92901
BANTEN;Kacang Tanah;2004;10487;13752;1;Rendah;18108,75391;12067,25283
BANTEN;Kacang Tanah;2005;13284;17853;1;Rendah;18048,42784;15346,89353
BANTEN;Kacang Tanah;2006;14211;18535;1;Rendah;17988,10176;16433,85346
BANTEN;Kacang Tanah;2007;13715;18171;1;Rendah;17927,77568;15852,26541
BANTEN;Kacang Tanah;2008;12299;16319;1;Rendah;17867,4496;14191,92532
BANTEN;Kacang Tanah;2009;12971;19782;1;Rendah;17807,12352;14979,88333
BANTEN;Kacang Tanah;2010;13862;20381;1;Rendah;17746,79745;16024,63122
BANTEN;Kacang Tanah;2011;10075;12246;1;Rendah;17686,47137;11584,15953
BANTEN;Kacang Tanah;2012;10727;11691;1;Rendah;17626,14529;12348,66641
BANTEN;Kacang Tanah;2013;9273;12810;1;Rendah;17565,81921;10643,76917
BANTEN;Kacang Tanah;2014;8061;10700;1;Rendah;17505,49313;9222,630617
BANTEN;Kacang Tanah;2015;7614;11004;1;Rendah;17445,16706;8698,497834
BENGKULU;Kacang Tanah;1993;8770;8594;1;Rendah;18772,34077;10053,97322
BENGKULU;Kacang Tanah;1994;8002;6861;1;Rendah;18712,01469;9153,44978
BENGKULU;Kacang Tanah;1995;9616;8920;1;Rendah;18651,68861;11045,95607
BENGKULU;Kacang Tanah;1996;9221;8740;1;Rendah;18591,36254;10582,79623
BENGKULU;Kacang Tanah;1997;9522;9215;1;Rendah;18531,03646;10935,73575
BENGKULU;Kacang Tanah;1998;8147;7824;1;Rendah;18470,71038;9323,470481
BENGKULU;Kacang Tanah;1999;6216;6156;1;Rendah;18410,3843;7059,263763
BENGKULU;Kacang Tanah;2000;5722;5628;1;Rendah;18350,05822;6480,020823
BENGKULU;Kacang Tanah;2001;5545;5472;1;Rendah;18289,73215;6272,478312
BENGKULU;Kacang Tanah;2002;6233;6035;1;Rendah;18229,40607;7079,197225
BENGKULU;Kacang Tanah;2003;6239;6040;1;Rendah;18169,07999;7086,232564
BENGKULU;Kacang Tanah;2004;5852;5814;1;Rendah;18108,75391;6632,453176
BENGKULU;Kacang Tanah;2005;6844;6800;1;Rendah;18048,42784;7795,629283
BENGKULU;Kacang Tanah;2006;7128;7038;1;Rendah;17988,10176;8128,635346
BENGKULU;Kacang Tanah;2007;5477;5430;1;Rendah;17927,77568;6192,744466
BENGKULU;Kacang Tanah;2008;4622;4585;1;Rendah;17867,4496;5190,208607
BENGKULU;Kacang Tanah;2009;3499;3472;1;Rendah;17807,12352;3873,42759
BENGKULU;Kacang Tanah;2010;7030;7253;1;Rendah;17746,79745;8013,724803
BENGKULU;Kacang Tanah;2011;6384;6444;1;Rendah;17686,47137;7256,253265
BENGKULU;Kacang Tanah;2012;5403;5802;1;Rendah;17626,14529;6105,97528
BENGKULU;Kacang Tanah;2013;4370;4679;1;Rendah;17565,81921;4894,724354
BENGKULU;Kacang Tanah;2014;4535;4612;1;Rendah;17505,49313;5088,196186
BENGKULU;Kacang Tanah;2015;2971;3630;1;Rendah;17445,16706;3254,317726
DI YOGYAKARTA;Kacang Tanah;1993;36106;30762;1;Rendah;18772,34077;42106,97934
DI YOGYAKARTA;Kacang Tanah;1994;46224;37118;0;Sedang;18712,01469;53970,90662
DI YOGYAKARTA;Kacang Tanah;1995;42384;35869;0;Sedang;18651,68861;49468,28943
DI YOGYAKARTA;Kacang Tanah;1996;52133;48866;0;Sedang;18591,36254;60899,54333
DI YOGYAKARTA;Kacang Tanah;1997;48647;48520;0;Sedang;18531,03646;56812,01116
