Provinsi;Komoditas;Tahun;Luas Panen;Produksi;KMeans;KMeans Label;Prediksi Luas Panen;Prediksi Produksi
ACEH;Kedelai;1993;171093;190220;0;Sedang;33904,97035;217820,9341
ACEH;Kedelai;1994;160421;182205;0;Sedang;32973,39079;204208,3878
ACEH;Kedelai;1995;116604;144935;0;Sedang;32041,81123;148318,1195
ACEH;Kedelai;1996;79057;100004;0;Sedang;31110,23168;100425,4773
ACEH;Kedelai;1997;71252;90517;0;Sedang;30178,65212;90469,89971
ACEH;Kedelai;1998;75804;92915;0;Sedang;29247,07256;96276,15073
ACEH;Kedelai;1999;85846;106480;0;Sedang;28315,49301;109085,1078
ACEH;Kedelai;2000;58906;71576;0;Sedang;27383,91345;74722,102
ACEH;Kedelai;2001;51022;63127;0;Sedang;26452,33389;64665,75686
ACEH;Kedelai;2002;17208;21522;2;Rendah;25520,75433;21534,69972
ACEH;Kedelai;2003;14519;18697;2;Rendah;24589,17478;18104,77682
ACEH;Kedelai;2004;24325;31170;2;Rendah;23657,59522;30612,70686
ACEH;Kedelai;2005;24189;31067;2;Rendah;22726,01566;30439,23363
ACEH;Kedelai;2006;19638;25495;2;Rendah;21794,4361;24634,25815
ACEH;Kedelai;2007;14743;19025;2;Rendah;20862,85655;18390,49744
ACEH;Kedelai;2008;32898;43885;2;Rendah;19931,27699;41547,898
ACEH;Kedelai;2009;45110;63538;2;Rendah;18999,69743;57124,77355
ACEH;Kedelai;2010;37469;53347;2;Rendah;18068,11787;47378,38425
ACEH;Kedelai;2011;35370;50006;2;Rendah;17136,53832;44701,02904
ACEH;Kedelai;2012;35599;51439;2;Rendah;16204,95876;44993,12735
ACEH;Kedelai;2013;30579;45027;2;Rendah;15273,3792;38589,92433
ACEH;Kedelai;2014;42784;63352;2;Rendah;14341,79964;54157,87111
ACEH;Kedelai;2015;32796;47910;2;Rendah;13410,22009;41417,79307
BALI;Kedelai;1993;23358;29701;2;Rendah;33904,97035;29379,26118
BALI;Kedelai;1994;23801;30502;2;Rendah;32973,39079;29944,32472
BALI;Kedelai;1995;18475;23321;2;Rendah;32041,81123;23150,80693
BALI;Kedelai;1996;20481;28887;2;Rendah;31110,23168;25709,53706
BALI;Kedelai;1997;20749;29443;2;Rendah;30178,65212;26051,38137
BALI;Kedelai;1998;15924;23533;2;Rendah;29247,07256;19896,90835
BALI;Kedelai;1999;14238;18799;2;Rendah;28315,49301;17746,35052
BALI;Kedelai;2000;10440;14326;2;Rendah;27383,91345;12901,85549
BALI;Kedelai;2001;8443;11852;2;Rendah;26452,33389;10354,6052
BALI;Kedelai;2002;7641;10251;2;Rendah;25520,75433;9331,623364
BALI;Kedelai;2003;5765;7834;2;Rendah;24589,17478;6938,713232
BALI;Kedelai;2004;7958;11131;2;Rendah;23657,59522;9735,969053
BALI;Kedelai;2005;8002;11225;2;Rendah;22726,01566;9792,092745
BALI;Kedelai;2006;7574;10844;2;Rendah;21794,4361;9246,162288
BALI;Kedelai;2007;5753;8417;2;Rendah;20862,85655;6923,406771
BALI;Kedelai;2008;6345;9323;2;Rendah;19931,27699;7678,525533
BALI;Kedelai;2009;9378;13521;2;Rendah;18999,69743;11547,23365
BALI;Kedelai;2010;4827;5554;2;Rendah;18068,11787;5742,258166
BALI;Kedelai;2011;6896;8503;2;Rendah;17136,53832;8381,347219
BALI;Kedelai;2012;6344;8210;2;Rendah;16204,95876;7677,249995
BALI;Kedelai;2013;5605;7433;2;Rendah;15273,3792;6734,62708
BALI;Kedelai;2014;5357;8187;2;Rendah;14341,79964;6418,293544
BALI;Kedelai;2015;5146;7259;2;Rendah;13410,22009;6149,154931
BANTEN;Kedelai;1993;0;0;2;Rendah;33904,97035;-414,7659322
BANTEN;Kedelai;1994;0;0;2;Rendah;32973,39079;-414,7659322
BANTEN;Kedelai;1995;0;0;2;Rendah;32041,81123;-414,7659322
BANTEN;Kedelai;1996;0;0;2;Rendah;31110,23168;-414,7659322
BANTEN;Kedelai;1997;0;0;2;Rendah;30178,65212;-414,7659322
BANTEN;Kedelai;1998;0;0;2;Rendah;29247,07256;-414,7659322
BANTEN;Kedelai;1999;0;0;2;Rendah;28315,49301;-414,7659322
BANTEN;Kedelai;2000;0;0;2;Rendah;27383,91345;-414,7659322
BANTEN;Kedelai;2001;1659;1996;2;Rendah;26452,33389;1701,352356
BANTEN;Kedelai;2002;3954;4568;2;Rendah;25520,75433;4628,713099
