Provinsi;Komoditas;Tahun;Luas Panen;Produksi;KMeans;KMeans Label;Prediksi Luas Panen;Prediksi Produksi
ACEH;Padi;1993;323589;1299699;2;Sedang;339332,2103;1525257,375
ACEH;Padi;1994;329041;1329536;2;Sedang;339042,4625;1554478,434
ACEH;Padi;1995;339253;1368074;2;Sedang;338752,7146;1609211,643
ACEH;Padi;1996;348223;1419128;2;Sedang;338462,9668;1657288,11
ACEH;Padi;1997;337561;1382905;2;Sedang;338173,2189;1600143,038
ACEH;Padi;1998;365892;1486909;2;Sedang;337883,4711;1751988,568
ACEH;Padi;1999;359817;1478712;2;Sedang;337593,7232;1719428,418
ACEH;Padi;2000;336765;1404580;2;Sedang;337303,9754;1595876,721
ACEH;Padi;2001;295212;1246614;0;Rendah;337014,2275;1373165,299
ACEH;Padi;2002;315131;1314165;2;Sedang;336724,4797;1479925,071
ACEH;Padi;2003;367636;1547499;2;Sedang;336434,7318;1761335,876
ACEH;Padi;2004;370966;1552078;2;Sedang;336144,984;1779183,662
ACEH;Padi;2005;337893;1411650;2;Sedang;335855,2361;1601922,457
ACEH;Padi;2006;320789;1350748;2;Sedang;335565,4883;1510250,227
ACEH;Padi;2007;360717;1533369;2;Sedang;335275,7404;1724252,144
ACEH;Padi;2008;329109;1402287;2;Sedang;334985,9926;1554842,893
ACEH;Padi;2009;359375;1556858;2;Sedang;334696,2447;1717059,433
ACEH;Padi;2010;352281;1582393;2;Sedang;334406,4969;1679037,754
ACEH;Padi;2011;380686;1772962;2;Sedang;334116,749;1831279,901
ACEH;Padi;2012;387803;1788738;2;Sedang;333827,0012;1869424,853
ACEH;Padi;2013;419183;1956940;2;Sedang;333537,2533;2037612,094
ACEH;Padi;2014;376137;1820062;2;Sedang;333247,5055;1806898,647
ACEH;Padi;2015;461060;2331046;2;Sedang;332957,7576;2262060,057
ACEH;Padi;2018;329515,78;1861567,1;2;Sedang;332088,514;1557023,11
ACEH;Padi;2019;310012,46;1714437,6;2;Sedang;331798,7662;1452491,256
ACEH;Padi;2020;317869,41;1757313,07;2;Sedang;331509,0183;1494602,114
ACEH;Padi;2021;297058,38;1634639,6;2;Sedang;331219,2705;1383061,333
ACEH;Padi;2022;271750,2;1509456;0;Rendah;330929,5226;1247417,198
ACEH;Padi;2023;254318,63;1393474,11;0;Rendah;330639,7748;1153989,293
BALI;Padi;1993;159994;837054;0;Rendah;339332,2103;648438,0105
BALI;Padi;1994;152808;801495;0;Rendah;339042,4625;609923,2395
BALI;Padi;1995;157755;831172;0;Rendah;338752,7146;636437,6525
