Provinsi,Komoditas,Tahun,Luas Panen,Produksi
ACEH,Jagung,1993,17941.0,38924.0
ACEH,Jagung,1994,13105.0,28578.0
ACEH,Jagung,1995,20639.0,44921.0
ACEH,Jagung,1996,19677.0,45566.0
ACEH,Jagung,1997,25312.0,58679.0
ACEH,Jagung,1998,29000.0,65660.0
ACEH,Jagung,1999,30545.0,74449.0
ACEH,Jagung,2000,15576.0,36642.0
ACEH,Jagung,2001,20605.0,51232.0
ACEH,Jagung,2002,23874.0,60105.0
ACEH,Jagung,2003,25188.0,67386.0
ACEH,Jagung,2004,25748.0,77747.0
ACEH,Jagung,2005,29517.0,94426.0
ACEH,Jagung,2006,29583.0,96838.0
ACEH,Jagung,2007,36774.0,125155.0
ACEH,Jagung,2008,34164.0,112894.0
ACEH,Jagung,2009,39731.0,137753.0
ACEH,Jagung,2010,43885.0,167090.0
ACEH,Jagung,2011,41853.0,168861.0
ACEH,Jagung,2012,43675.0,167285.0
ACEH,Jagung,2013,44099.0,177842.0
ACEH,Jagung,2014,47357.0,202318.0
ACEH,Jagung,2015,47967.0,205125.0
ACEH,Jagung,2020,11581.2,63950.8
ACEH,Jagung,2021,10289.99,57835.8
ACEH,Jagung,2022,12453.57,72241.64
ACEH,Jagung,2023,11951.91,68247.73
BALI,Jagung,1993,51038.0,105759.0
BALI,Jagung,1994,40251.0,85286.0
BALI,Jagung,1995,42357.0,90800.0
BALI,Jagung,1996,42294.0,91704.0
BALI,Jagung,1997,44190.0,107395.0
BALI,Jagung,1998,46013.0,113921.0
BALI,Jagung,1999,38524.0,96342.0
BALI,Jagung,2000,38258.0,95206.0
BALI,Jagung,2001,31858.0,79692.0
BALI,Jagung,2002,34395.0,98584.0
BALI,Jagung,2003,29941.0,89819.0
BALI,Jagung,2004,25782.0,68424.0
BALI,Jagung,2005,30810.0,81884.0
BALI,Jagung,2006,28131.0,78105.0
BALI,Jagung,2007,24021.0,69209.0
BALI,Jagung,2008,27251.0,77619.0
BALI,Jagung,2009,32305.0,92998.0
BALI,Jagung,2010,26706.0,66355.0
BALI,Jagung,2011,22739.0,64606.0
BALI,Jagung,2012,21008.0,61873.0
BALI,Jagung,2013,18223.0,57573.0
BALI,Jagung,2014,16685.0,40613.0
BALI,Jagung,2015,15346.0,40603.0
BALI,Jagung,2020,7927.98,34994.61
BALI,Jagung,2021,10245.83,50117.54
BALI,Jagung,2022,10316.71,53206.31
BALI,Jagung,2023,9410.75,41738.08
BANTEN,Jagung,1993,0.0,0.0
BANTEN,Jagung,1994,0.0,0.0
BANTEN,Jagung,1995,0.0,0.0
BANTEN,Jagung,1996,0.0,0.0
BANTEN,Jagung,1997,0.0,0.0
BANTEN,Jagung,1998,0.0,0.0
BANTEN,Jagung,1999,0.0,0.0
BANTEN,Jagung,2000,0.0,0.0
BANTEN,Jagung,2001,12534.0,30396.0
BANTEN,Jagung,2002,8354.0,19216.0
BANTEN,Jagung,2003,8331.0,24875.0
BANTEN,Jagung,2004,8818.0,25102.0
BANTEN,Jagung,2005,10324.0,29751.0
BANTEN,Jagung,2006,8155.0,24417.0
BANTEN,Jagung,2007,6736.0,20723.0
BANTEN,Jagung,2008,6288.0,20169.0
BANTEN,Jagung,2009,8425.0,27083.0
BANTEN,Jagung,2010,8697.0,28557.0
BANTEN,Jagung,2011,4600.0,13863.0
BANTEN,Jagung,2012,3074.0,9819.0
