Provinsi;Komoditas;Tahun;Luas Panen;Produksi;KMeans;KMeans Label;Prediksi Luas Panen;Prediksi Produksi
ACEH;Ubi Jalar;1993;3040;27808;0;Rendah;6044,899607;33435,95223
ACEH;Ubi Jalar;1994;3215;32918;0;Rendah;5984,572474;35346,44241
ACEH;Ubi Jalar;1995;3633;32195;0;Rendah;5924,245341;39909,78466
ACEH;Ubi Jalar;1996;2834;26784;0;Rendah;5863,918208;31187,03236
ACEH;Ubi Jalar;1997;5288;31345;0;Rendah;5803,591075;57977,56322
ACEH;Ubi Jalar;1998;2750;26401;0;Rendah;5743,263942;30269,99707
ACEH;Ubi Jalar;1999;3459;33697;0;Rendah;5682,936809;38010,21157
ACEH;Ubi Jalar;2000;2545;24594;0;Rendah;5622,609676;28031,99429
ACEH;Ubi Jalar;2001;1725;16695;0;Rendah;5562,282543;19079,98316
ACEH;Ubi Jalar;2002;1776;17285;0;Rendah;5501,95541;19636,75459
ACEH;Ubi Jalar;2003;2394;23568;0;Rendah;5441,628277;26383,51419
ACEH;Ubi Jalar;2004;2338;22938;0;Rendah;5381,301143;25772,15733
ACEH;Ubi Jalar;2005;2330;22985;0;Rendah;5320,97401;25684,82064
ACEH;Ubi Jalar;2006;1661;16238;0;Rendah;5260,646877;18381,28961
ACEH;Ubi Jalar;2007;1542;15187;0;Rendah;5200,319744;17082,15629
ACEH;Ubi Jalar;2008;1325;13172;0;Rendah;5139,992611;14713,14847
ACEH;Ubi Jalar;2009;1519;15298;0;Rendah;5079,665478;16831,06329
ACEH;Ubi Jalar;2010;1101;11095;0;Rendah;5019,338345;12267,72104
ACEH;Ubi Jalar;2011;1137;11844;0;Rendah;4959,011212;12660,73616
ACEH;Ubi Jalar;2012;1264;13356;0;Rendah;4898,684079;14047,20618
ACEH;Ubi Jalar;2013;1094;11602;0;Rendah;4838,356946;12191,30143
ACEH;Ubi Jalar;2014;903;9696;0;Rendah;4778,029813;10106,13786
ACEH;Ubi Jalar;2015;793;8935;0;Rendah;4717,70268;8905,258321
BALI;Ubi Jalar;1993;9871;110345;2;Sedang;6044,899607;108010,5717
BALI;Ubi Jalar;1994;9008;100366;2;Sedang;5984,572474;98589,12589
BALI;Ubi Jalar;1995;6947;81701;2;Sedang;5924,245341;76089,01012
BALI;Ubi Jalar;1996;7169;83167;2;Sedang;5863,918208;78512,60338
BALI;Ubi Jalar;1997;2073;86856;0;Rendah;5803,591075;22879,12935
BALI;Ubi Jalar;1998;8154;92815;2;Sedang;5743,263942;89265,93381
BALI;Ubi Jalar;1999;5814;65391;0;Rendah;5682,936809;63719,95084
BALI;Ubi Jalar;2000;5864;65150;0;Rendah;5622,609676;64265,80518
BALI;Ubi Jalar;2001;4837;53510;0;Rendah;5562,282543;53053,9571
BALI;Ubi Jalar;2002;5861;67990;0;Rendah;5501,95541;64233,05392
BALI;Ubi Jalar;2003;5612;64887;0;Rendah;5441,628277;61514,69932
BALI;Ubi Jalar;2004;6219;72534;0;Rendah;5381,301143;68141,37097
BALI;Ubi Jalar;2005;7105;88510;2;Sedang;5320,97401;77813,90982
BALI;Ubi Jalar;2006;7241;92078;2;Sedang;5260,646877;79298,63362
BALI;Ubi Jalar;2007;7037;91187;2;Sedang;5200,319744;77071,54793
BALI;Ubi Jalar;2008;6424;88201;2;Sedang;5139,992611;70379,37375
BALI;Ubi Jalar;2009;6285;78983;0;Rendah;5079,665478;68861,8987
BALI;Ubi Jalar;2010;5707;70318;0;Rendah;5019,338345;62551,82256
BALI;Ubi Jalar;2011;5982;69528;0;Rendah;4959,011212;65554,02141
BALI;Ubi Jalar;2012;5619;62352;0;Rendah;4898,684079;61591,11893
BALI;Ubi Jalar;2013;5119;60755;0;Rendah;4838,356946;56132,57556
BALI;Ubi Jalar;2014;4378;54395;0;Rendah;4778,029813;48043,01428
BALI;Ubi Jalar;2015;3141;36655;0;Rendah;4717,70268;34538,57799
BANTEN;Ubi Jalar;1993;0;0;0;Rendah;6044,899607;248,0085361
BANTEN;Ubi Jalar;1994;0;0;0;Rendah;5984,572474;248,0085361
BANTEN;Ubi Jalar;1995;0;0;0;Rendah;5924,245341;248,0085361
BANTEN;Ubi Jalar;1996;0;0;0;Rendah;5863,918208;248,0085361
BANTEN;Ubi Jalar;1997;0;0;0;Rendah;5803,591075;248,0085361
BANTEN;Ubi Jalar;1998;0;0;0;Rendah;5743,263942;248,0085361
BANTEN;Ubi Jalar;1999;0;0;0;Rendah;5682,936809;248,0085361
BANTEN;Ubi Jalar;2000;0;0;0;Rendah;5622,609676;248,0085361
BANTEN;Ubi Jalar;2001;4217;45917;0;Rendah;5562,282543;46285,36332
BANTEN;Ubi Jalar;2002;3895;42381;0;Rendah;5501,95541;42770,06139
BANTEN;Ubi Jalar;2003;3443;39669;0;Rendah;5441,628277;37835,53818
BANTEN;Ubi Jalar;2004;3386;38618;0;Rendah;5381,301143;37213,26424
BANTEN;Ubi Jalar;2005;3638;41276;0;Rendah;5320,97401;39964,3701
BANTEN;Ubi Jalar;2006;3020;34373;0;Rendah;5260,646877;33217,61049
BANTEN;Ubi Jalar;2007;2904;33694;0;Rendah;5200,319744;31951,22843
BANTEN;Ubi Jalar;2008;2884;33793;0;Rendah;5139,992611;31732,88669
BANTEN;Ubi Jalar;2009;2942;34549;0;Rendah;5079,665478;32366,07773
BANTEN;Ubi Jalar;2010;3403;40579;0;Rendah;5019,338345;37398,85471
BANTEN;Ubi Jalar;2011;2879;34589;0;Rendah;4959,011212;31678,30126
BANTEN;Ubi Jalar;2012;2564;32756;0;Rendah;4898,684079;28239,41894
BANTEN;Ubi Jalar;2013;2125;27972;0;Rendah;4838,356946;23446,81786
BANTEN;Ubi Jalar;2014;2089;28336;0;Rendah;4778,029813;23053,80274
BANTEN;Ubi Jalar;2015;1523;20150;0;Rendah;4717,70268;16874,73164
BENGKULU;Ubi Jalar;1993;9877;89922;2;Sedang;6044,899607;108076,0743
BENGKULU;Ubi Jalar;1994;9248;85143;2;Sedang;5984,572474;101209,2267
BENGKULU;Ubi Jalar;1995;9229;84170;2;Sedang;5924,245341;101001,8021
BENGKULU;Ubi Jalar;1996;12588;116900;2;Sedang;5863,918208;137672,2964
BENGKULU;Ubi Jalar;1997;2250;125010;2;Sedang;5803,591075;24811,4537
BENGKULU;Ubi Jalar;1998;10058;93054;2;Sedang;5743,263942;110052,067
BENGKULU;Ubi Jalar;1999;7648;70911;0;Rendah;5682,936809;83741,88792
BENGKULU;Ubi Jalar;2000;7004;64313;0;Rendah;5622,609676;76711,28406
BENGKULU;Ubi Jalar;2001;6353;58752;0;Rendah;5562,282543;69604,2606
BENGKULU;Ubi Jalar;2002;6720;62689;0;Rendah;5501,95541;73610,83143
BENGKULU;Ubi Jalar;2003;5783;54741;0;Rendah;5441,628277;63381,52115
BENGKULU;Ubi Jalar;2004;3711;35368;0;Rendah;5381,301143;40761,31743
BENGKULU;Ubi Jalar;2005;4818;45921;0;Rendah;5320,97401;52846,53245
BENGKULU;Ubi Jalar;2006;5366;51184;0;Rendah;5260,646877;58829,09598
BENGKULU;Ubi Jalar;2007;3372;32131;0;Rendah;5200,319744;37060,42502
BENGKULU;Ubi Jalar;2008;3217;30682;0;Rendah;5139,992611;35368,27658
BENGKULU;Ubi Jalar;2009;2197;20930;0;Rendah;5079,665478;24232,8481
BENGKULU;Ubi Jalar;2010;2900;27840;0;Rendah;5019,338345;31907,56008
BENGKULU;Ubi Jalar;2011;2734;26445;0;Rendah;4959,011212;30095,32368
BENGKULU;Ubi Jalar;2012;3855;37271;0;Rendah;4898,684079;42333,37792
BENGKULU;Ubi Jalar;2013;3277;31672;0;Rendah;4838,356946;36023,30178
BENGKULU;Ubi Jalar;2014;3931;52251;0;Rendah;4778,029813;43163,07651
BENGKULU;Ubi Jalar;2015;2950;38841;0;Rendah;4717,70268;32453,41442
DI YOGYAKARTA;Ubi Jalar;1993;931;9561;0;Rendah;6044,899607;10411,81629
DI YOGYAKARTA;Ubi Jalar;1994;803;8476;0;Rendah;5984,572474;9014,429188
DI YOGYAKARTA;Ubi Jalar;1995;936;9658;0;Rendah;5924,245341;10466,40172
DI YOGYAKARTA;Ubi Jalar;1996;798;8765;0;Rendah;5863,918208;8959,843755
DI YOGYAKARTA;Ubi Jalar;1997;243;8192;0;Rendah;5803,591075;2900,860614
DI YOGYAKARTA;Ubi Jalar;1998;865;8554;0;Rendah;5743,263942;9691,288566
DI YOGYAKARTA;Ubi Jalar;1999;750;7717;0;Rendah;5682,936809;8435,823591
DI YOGYAKARTA;Ubi Jalar;2000;751;7724;0;Rendah;5622,609676;8446,740678
DI YOGYAKARTA;Ubi Jalar;2001;764;7906;0;Rendah;5562,282543;8588,662805
DI YOGYAKARTA;Ubi Jalar;2002;741;7100;0;Rendah;5501,95541;8337,56981
DI YOGYAKARTA;Ubi Jalar;2003;699;7578;0;Rendah;5441,628277;7879,052167
DI YOGYAKARTA;Ubi Jalar;2004;602;6439;0;Rendah;5381,301143;6820,094754
DI YOGYAKARTA;Ubi Jalar;2005;617;6522;0;Rendah;5320,97401;6983,851055
DI YOGYAKARTA;Ubi Jalar;2006;611;6236;0;Rendah;5260,646877;6918,348534
DI YOGYAKARTA;Ubi Jalar;2007;515;5496;0;Rendah;5200,319744;5870,308207
DI YOGYAKARTA;Ubi Jalar;2008;610;7656;0;Rendah;5139,992611;6907,431448
DI YOGYAKARTA;Ubi Jalar;2009;574;6687;0;Rendah;5079,665478;6514,416325
DI YOGYAKARTA;Ubi Jalar;2010;599;6484;0;Rendah;5019,338345;6787,343493
DI YOGYAKARTA;Ubi Jalar;2011;413;4584;0;Rendah;4959,011212;4756,76536
DI YOGYAKARTA;Ubi Jalar;2012;440;5047;0;Rendah;4898,684079;5051,526702
DI YOGYAKARTA;Ubi Jalar;2013;419;4951;0;Rendah;4838,356946;4822,26788
DI YOGYAKARTA;Ubi Jalar;2014;409;5237;0;Rendah;4778,029813;4713,097013
DI YOGYAKARTA;Ubi Jalar;2015;407;6070;0;Rendah;4717,70268;4691,262839
DKI JAKARTA;Ubi Jalar;1993;7;45;0;Rendah;6044,899607;324,4281433
DKI JAKARTA;Ubi Jalar;1994;0;0;0;Rendah;5984,572474;248,0085361
DKI JAKARTA;Ubi Jalar;1995;4;33;0;Rendah;5924,245341;291,6768831
DKI JAKARTA;Ubi Jalar;1996;2;19;0;Rendah;5863,918208;269,8427096
DKI JAKARTA;Ubi Jalar;1997;0;29;0;Rendah;5803,591075;248,0085361
DKI JAKARTA;Ubi Jalar;1998;1;10;0;Rendah;5743,263942;258,9256229
DKI JAKARTA;Ubi Jalar;1999;13;129;0;Rendah;5682,936809;389,9306637
DKI JAKARTA;Ubi Jalar;2000;0;0;0;Rendah;5622,609676;248,0085361
DKI JAKARTA;Ubi Jalar;2001;0;0;0;Rendah;5562,282543;248,0085361
DKI JAKARTA;Ubi Jalar;2002;0;0;0;Rendah;5501,95541;248,0085361
DKI JAKARTA;Ubi Jalar;2003;0;0;0;Rendah;5441,628277;248,0085361
DKI JAKARTA;Ubi Jalar;2004;0;0;0;Rendah;5381,301143;248,0085361
DKI JAKARTA;Ubi Jalar;2005;0;0;0;Rendah;5320,97401;248,0085361
DKI JAKARTA;Ubi Jalar;2006;0;0;0;Rendah;5260,646877;248,0085361
DKI JAKARTA;Ubi Jalar;2007;0;0;0;Rendah;5200,319744;248,0085361
DKI JAKARTA;Ubi Jalar;2008;0;0;0;Rendah;5139,992611;248,0085361
DKI JAKARTA;Ubi Jalar;2009;0;0;0;Rendah;5079,665478;248,0085361
DKI JAKARTA;Ubi Jalar;2010;0;0;0;Rendah;5019,338345;248,0085361
DKI JAKARTA;Ubi Jalar;2011;0;0;0;Rendah;4959,011212;248,0085361
DKI JAKARTA;Ubi Jalar;2012;0;0;0;Rendah;4898,684079;248,0085361
DKI JAKARTA;Ubi Jalar;2013;0;0;0;Rendah;4838,356946;248,0085361
DKI JAKARTA;Ubi Jalar;2014;0;0;0;Rendah;4778,029813;248,0085361
DKI JAKARTA;Ubi Jalar;2015;0;0;0;Rendah;4717,70268;248,0085361
GORONTALO;Ubi Jalar;1993;0;0;0;Rendah;6044,899607;248,0085361
GORONTALO;Ubi Jalar;1994;0;0;0;Rendah;5984,572474;248,0085361
GORONTALO;Ubi Jalar;1995;0;0;0;Rendah;5924,245341;248,0085361
GORONTALO;Ubi Jalar;1996;0;0;0;Rendah;5863,918208;248,0085361
GORONTALO;Ubi Jalar;1997;0;0;0;Rendah;5803,591075;248,0085361
GORONTALO;Ubi Jalar;1998;0;0;0;Rendah;5743,263942;248,0085361
GORONTALO;Ubi Jalar;1999;0;0;0;Rendah;5682,936809;248,0085361
GORONTALO;Ubi Jalar;2000;0;0;0;Rendah;5622,609676;248,0085361
GORONTALO;Ubi Jalar;2001;618;5315;0;Rendah;5562,282543;6994,768141
GORONTALO;Ubi Jalar;2002;506;4293;0;Rendah;5501,95541;5772,054427
GORONTALO;Ubi Jalar;2003;404;3721;0;Rendah;5441,628277;4658,511579
GORONTALO;Ubi Jalar;2004;574;5384;0;Rendah;5381,301143;6514,416325
GORONTALO;Ubi Jalar;2005;352;3309;0;Rendah;5320,97401;4090,823069
GORONTALO;Ubi Jalar;2006;378;3557;0;Rendah;5260,646877;4374,667324
GORONTALO;Ubi Jalar;2007;314;2974;0;Rendah;5200,319744;3675,973772
GORONTALO;Ubi Jalar;2008;412;3947;0;Rendah;5139,992611;4745,848273
GORONTALO;Ubi Jalar;2009;358;3456;0;Rendah;5079,665478;4156,325589
GORONTALO;Ubi Jalar;2010;303;2926;0;Rendah;5019,338345;3555,885818
GORONTALO;Ubi Jalar;2011;260;2565;0;Rendah;4959,011212;3086,451089
GORONTALO;Ubi Jalar;2012;202;2002;0;Rendah;4898,684079;2453,260058
GORONTALO;Ubi Jalar;2013;201;2007;0;Rendah;4838,356946;2442,342971
GORONTALO;Ubi Jalar;2014;182;1904;0;Rendah;4778,029813;2234,918323
GORONTALO;Ubi Jalar;2015;139;1434;0;Rendah;4717,70268;1765,483593
JAMBI;Ubi Jalar;1993;3168;25475;0;Rendah;6044,899607;34833,33933
JAMBI;Ubi Jalar;1994;3353;26752;0;Rendah;5984,572474;36853,00038
JAMBI;Ubi Jalar;1995;3354;25866;0;Rendah;5924,245341;36863,91746
JAMBI;Ubi Jalar;1996;2259;18965;0;Rendah;5863,918208;24909,70748
JAMBI;Ubi Jalar;1997;665;12462;0;Rendah;5803,591075;7507,871218
JAMBI;Ubi Jalar;1998;2661;22020;0;Rendah;5743,263942;29298,37635
JAMBI;Ubi Jalar;1999;1912;15990;0;Rendah;5682,936809;21121,47838
JAMBI;Ubi Jalar;2000;1735;14266;0;Rendah;5622,609676;19189,15403
JAMBI;Ubi Jalar;2001;1771;14725;0;Rendah;5562,282543;19582,16915
JAMBI;Ubi Jalar;2002;2002;16817;0;Rendah;5501,95541;22104,01619
JAMBI;Ubi Jalar;2003;2619;22000;0;Rendah;5441,628277;28839,85871
JAMBI;Ubi Jalar;2004;3253;27325;0;Rendah;5381,301143;35761,2917
JAMBI;Ubi Jalar;2005;3325;28370;0;Rendah;5320,97401;36547,32195
JAMBI;Ubi Jalar;2006;3407;29261;0;Rendah;5260,646877;37442,52306
JAMBI;Ubi Jalar;2007;4026;36363;0;Rendah;5200,319744;44200,19975
JAMBI;Ubi Jalar;2008;2263;21825;0;Rendah;5139,992611;24953,37583
JAMBI;Ubi Jalar;2009;2129;20614;0;Rendah;5079,665478;23490,48621
JAMBI;Ubi Jalar;2010;2197;21156;0;Rendah;5019,338345;24232,8481
JAMBI;Ubi Jalar;2011;3017;68735;0;Rendah;4959,011212;33184,85923
JAMBI;Ubi Jalar;2012;3076;80057;0;Rendah;4898,684079;33828,96735
JAMBI;Ubi Jalar;2013;2670;68187;0;Rendah;4838,356946;29396,63013
JAMBI;Ubi Jalar;2014;2945;78677;0;Rendah;4778,029813;32398,82899
JAMBI;Ubi Jalar;2015;2511;79393;0;Rendah;4717,70268;27660,81334
JAWA BARAT;Ubi Jalar;1993;42546;448799;1;Tinggi;6044,899607;464726,381
JAWA BARAT;Ubi Jalar;1994;38336;417409;1;Tinggi;5984,572474;418765,4458
